iter	MultiClass
0	1.068702031
1	1.039731061
2	1.015441221
3	0.9847665721
4	0.9670694936
5	0.9480488807
6	0.9268723876
7	0.9070318894
8	0.8892337964
9	0.8708041727
10	0.8583322064
11	0.8444058038
12	0.8308958514
13	0.8161103625
14	0.8057933505
15	0.7980365857
16	0.7884846782
17	0.7775790559
18	0.7679567323
19	0.7597821475
20	0.7533949056
21	0.7463495073
22	0.7387695071
23	0.7335094493
24	0.7243161671
25	0.7197477067
26	0.7115746789
27	0.7073431046
28	0.6982608081
29	0.6942981822
30	0.6891952309
31	0.6852988424
32	0.6812375849
33	0.6774359833
34	0.6731792036
35	0.6670529579
36	0.6637196002
37	0.6612623793
38	0.6579110841
39	0.6509709017
40	0.6480148592
41	0.6420351633
42	0.6393918163
43	0.6371333709
44	0.6320031212
45	0.6299516658
46	0.6276804689
47	0.6253348418
48	0.6228046768
49	0.6182275945
50	0.6161253023
51	0.6139379195
52	0.6116929852
53	0.6094503147
54	0.6079770373
55	0.6045545001
56	0.6025902965
57	0.6014316281
58	0.5997100535
59	0.5978859176
60	0.5962945777
61	0.5947312591
62	0.5926562973
63	0.5904736539
64	0.5867704359
65	0.5846252687
66	0.5835876663
67	0.5822876363
68	0.5812331344
69	0.5754705594
70	0.5738674182
71	0.5722105469
72	0.5706682702
73	0.5693073534
74	0.5674546405
75	0.5654603541
76	0.5639425893
77	0.5624010415
78	0.5612478397
79	0.5598665536
80	0.558837665
81	0.5575994282
82	0.5565824649
83	0.5537421718
84	0.5521596559
85	0.5506245298
86	0.5494924109
87	0.5483340839
88	0.5459934438
89	0.5447447431
90	0.5436274521
91	0.5425150216
92	0.5408486966
93	0.5396637512
94	0.5382927034
95	0.5370472604
96	0.5357321318
97	0.5346487911
98	0.5335056303
99	0.5325043212
100	0.5318394406
101	0.5303798085
102	0.5295990889
103	0.5286907557
104	0.527911464
105	0.5269672374
106	0.5253824637
107	0.5229329144
108	0.5213899844
109	0.52049277
110	0.5196146146
111	0.5189800019
112	0.5163641865
113	0.5145544471
114	0.5136194297
115	0.5128323378
116	0.5120944186
117	0.5109527395
118	0.5101287721
119	0.5094513417
120	0.5082902029
121	0.5072015262
122	0.5066447758
123	0.5059265122
124	0.5049597502
125	0.5041719803
126	0.5020979499
127	0.5004651455
128	0.4990185698
129	0.4974430161
130	0.4965846678
131	0.4958494795
132	0.494766276
133	0.4935685971
134	0.4926384613
135	0.4916046395
136	0.4909522408
137	0.4901835748
138	0.4891646915
139	0.488254995
140	0.4873004544
141	0.4864086907
142	0.4847602426
143	0.4840239911
144	0.4832874415
145	0.482276164
146	0.4811001148
147	0.4798777643
148	0.4782259747
149	0.4767891728
150	0.4756839675
151	0.4751555707
152	0.4741661001
153	0.4728839946
154	0.4721315385
155	0.4704511131
156	0.4697789452
157	0.468828989
158	0.4681872809
159	0.467529359
160	0.4666513364
161	0.4660262962
162	0.4651780645
163	0.4645505557
164	0.4641711881
165	0.4636038326
166	0.4623669079
167	0.461185495
168	0.4602873947
169	0.4597040663
170	0.4588223097
171	0.4582288217
172	0.4560311784
173	0.4541936232
174	0.4533709461
175	0.4526681574
176	0.4519899559
177	0.450361613
178	0.4498144729
179	0.4487379502
180	0.4478743416
181	0.4469075803
182	0.4448483403
183	0.4440336515
184	0.4430564499
185	0.442422585
186	0.441639556
187	0.4398786006
188	0.4384984531
189	0.4376160821
