iter	Passed	Remaining
0	258	128994
1	432	107669
2	517	85763
3	600	74434
4	685	67896
5	869	71613
6	1099	77460
7	1320	81205
8	1568	85559
9	1817	89056
10	2095	93172
11	2332	94845
12	2492	93373
13	2692	93460
14	2881	93174
15	3097	93698
16	3315	94208
17	3552	95117
18	3747	94867
19	3966	95198
20	4177	95296
21	4335	94209
22	4545	94260
23	4799	95193
24	5020	95382
25	5291	96471
26	5421	94983
27	5586	94172
28	5766	93650
29	5947	93179
30	6145	92972
31	6328	92550
32	6528	92384
33	6689	91679
34	6783	90123
35	6885	88752
36	7003	87637
37	7191	87434
38	7354	86935
39	7523	86524
40	7721	86442
41	7903	86181
42	7994	84960
43	8087	83820
44	8185	82764
45	8383	82740
46	8620	83083
47	8856	83397
48	9027	83088
49	9114	82033
50	9207	81060
51	9364	80679
52	9547	80519
53	9768	80679
54	9992	80851
55	10223	81054
56	10409	80899
57	10577	80610
58	10762	80448
59	11006	80715
60	11288	81239
61	11554	81623
62	11742	81454
63	12021	81898
64	12232	81860
65	12370	81346
66	12521	80923
67	12792	81267
68	13103	81847
69	13403	82334
70	13681	82669
71	13920	82751
72	14070	82302
73	14214	81827
74	14421	81719
75	14674	81870
76	14958	82175
77	15220	82347
78	15351	81811
79	15477	81259
80	15684	81132
81	15913	81118
82	16186	81323
83	16463	81535
84	16686	81469
85	16936	81531
86	17174	81528
87	17435	81629
88	17546	81030
89	17664	80471
90	17813	80061
91	17959	79646
92	18101	79218
93	18257	78857
94	18454	78676
95	18677	78599
96	18910	78564
97	19124	78448
98	19311	78219
99	19497	77991
100	19750	78025
101	20024	78135
102	20297	78234
103	20557	78274
104	20827	78352
105	21039	78202
106	21240	78012
107	21382	77612
108	21570	77375
109	21886	77598
110	22202	77807
111	22542	78094
112	22839	78220
113	23104	78229
114	23348	78166
115	23576	78045
116	23781	77849
117	23914	77418
118	24045	76987
119	24171	76543
120	24321	76180
121	24488	75874
122	24677	75637
123	24898	75499
124	25135	75407
125	25346	75235
126	25567	75092
127	25786	74942
128	25906	74507
129	26004	74013
130	26158	73683
131	26421	73661
132	26688	73644
133	26842	73314
134	27001	73003
135	27184	72757
136	27344	72453
137	27580	72348
138	27774	72133
139	27869	71663
140	27959	71188
141	28063	70751
142	28310	70676
143	28515	70497
144	28739	70361
145	28845	69939
146	28929	69470
147	29013	69006
148	29147	68662
149	29347	68476
150	29592	68396
151	29830	68297
152	29948	67921
153	30040	67494
154	30124	67050
155	30269	66748
156	30443	66509
157	30645	66334
158	30876	66220
159	31026	65931
160	31105	65495
161	31186	65068
162	31277	64665
163	31406	64345
164	31603	64165
165	31777	63938
166	31940	63689
167	32083	63403
168	32208	63083
169	32368	62833
170	32577	62678
171	32752	62458
172	32836	62067
173	32920	61677
174	32998	61282
175	33109	60950
176	33309	60784
177	33529	60655
178	33691	60418
179	33783	60060
180	33871	59696
181	33970	59355
182	34155	59166
183	34370	59028
184	34587	58892
185	34742	58650
186	34830	58299
187	34914	57942
188	35027	57638
189	35204	57438
190	35411	57289
191	35605	57117
192	35797	56941
193	35983	56758
194	36058	56399
195	36139	56053
196	36242	55743
197	36487	55652
198	36730	55556
199	36957	55436
200	37178	55305
201	37420	55205
202	37577	54978
203	37775	54811
204	37981	54656
205	38220	54547
206	38409	54367
207	38621	54218
208	38876	54130
209	39069	53953
210	39180	53663
211	39302	53392
212	39474	53188
213	39648	52988
214	39825	52792
215	40001	52593
216	40180	52401
217	40367	52218
218	40536	52012
219	40619	51697
220	40707	51390
221	40795	51085
222	40932	50844
223	41139	50689
224	41424	50630
225	41606	50443
226	41690	50139
227	41776	49839
228	41877	49557
229	42015	49322
230	42162	49098
231	42344	48915
232	42513	48716
233	42681	48518
234	42866	48339
235	43054	48163
236	43229	47971
237	43348	47719
238	43432	47430
239	43568	47198
240	43756	47024
241	43959	46865
242	44134	46677
243	44288	46466
244	44413	46226
245	44563	46013
246	44731	45817
247	44827	45550
248	44904	45265
249	44985	44985
250	45076	44717
251	45264	44546
252	45504	44425
253	45714	44274
254	45917	44117
255	46036	43878
256	46113	43601
257	46200	43334
258	46285	43069
259	46404	42835
260	46594	42667
261	46800	42513
262	46980	42336
263	47054	42063
264	47135	41799
265	47216	41536
266	47299	41276
267	47408	41039
268	47564	40844
269	47718	40649
270	47881	40461
271	48031	40261
272	48190	40070
273	48281	39823
274	48361	39568
275	48444	39317
276	48552	39087
277	48755	38934
278	48948	38772
279	49108	38585
280	49315	38434
281	49451	38228
282	49537	37984
283	49617	37737
284	49757	37536
285	49973	37392
286	50242	37288
287	50382	37087
288	50468	36847
289	50554	36608
290	50668	36390
291	50855	36225
292	51086	36091
293	51316	35956
294	51559	35829
295	51645	35593
296	51727	35355
297	51856	35151
298	51992	34951
299	52173	34782
300	52400	34643
301	52568	34465
302	52758	34301
303	52899	34106
304	53000	33885
305	53182	33716
306	53328	33525
307	53435	33310
308	53555	33103
309	53691	32907
310	53915	32765
311	54148	32627
312	54411	32507
313	54681	32390
314	54933	32262
315	55145	32110
316	55357	31956
317	55595	31818
318	55908	31722
319	56144	31581
320	56404	31452
321	56661	31322
322	56917	31190
323	57235	31090
324	57527	30976
325	57653	30771
326	57769	30562
327	57946	30386
328	58150	30224
329	58392	30081
330	58610	29924
331	58854	29781
332	59103	29640
333	59267	29456
334	59379	29246
335	59503	29043
336	59699	28875
337	59900	28709
338	60110	28548
339	60346	28398
340	60547	28231
341	60789	28083
342	60945	27896
343	61074	27696
344	61212	27501
345	61377	27318
346	61584	27153
347	61765	26977
348	61956	26806
349	62116	26621
350	62281	26438
351	62478	26269
352	62583	26061
353	62697	25858
354	62834	25664
355	63120	25531
356	63450	25415
357	63675	25256
358	63866	25084
359	63984	24882
360	64097	24680
361	64293	24509
362	64494	24340
363	64691	24170
364	64873	23994
365	65085	23829
366	65271	23654
367	65372	23448
368	65479	23245
369	65578	23041
370	65687	22840
371	65788	22637
372	65892	22435
373	66081	22262
374	66298	22099
375	66520	21937
376	66726	21770
377	66893	21590
378	67102	21423
379	67362	21272
380	67470	21073
381	67586	20877
382	67729	20690
383	67958	20529
384	68223	20378
385	68448	20215
386	68625	20037
387	68906	19890
388	69005	19690
389	69123	19496
390	69238	19301
391	69412	19123
392	69571	18941
393	69771	18770
394	69958	18596
395	70045	18395
396	70130	18195
397	70221	17996
398	70377	17814
399	70565	17641
400	70725	17460
401	70905	17285
402	71120	17118
403	71274	16936
404	71427	16754
405	71607	16579
406	71831	16413
407	72065	16250
408	72294	16085
409	72484	15911
410	72665	15735
411	72808	15551
412	73042	15386
413	73299	15226
414	73543	15063
415	73655	14872
416	73860	14701
417	74057	14528
418	74299	14363
419	74567	14203
420	74801	14036
421	74985	13859
422	75165	13682
423	75246	13487
424	75330	13293
425	75418	13100
426	75589	12922
427	75804	12752
428	75960	12571
429	76044	12379
430	76124	12186
431	76224	11998
432	76399	11821
433	76640	11654
434	76822	11479
435	76910	11289
436	77000	11100
437	77094	10912
438	77331	10745
439	77563	10576
440	77725	10398
441	77807	10210
442	77888	10021
443	77978	9835
444	78146	9658
445	78315	9482
446	78550	9313
447	78746	9140
448	78831	8954
449	78922	8769
450	79037	8587
451	79219	8412
452	79435	8241
453	79613	8066
454	79796	7891
455	79983	7717
456	80210	7547
457	80407	7373
458	80495	7190
459	80582	7007
460	80666	6824
461	80777	6644
462	80973	6470
463	81132	6294
464	81301	6119
465	81477	5944
466	81563	5763
467	81646	5582
468	81744	5403
