date,open,high,low,close,volume
2023-01-02,2400.00,2404.10,2397.37,2401.24,3900828
2023-01-03,2401.24,2410.76,2388.76,2389.33,6284913
2023-01-04,2389.33,2395.26,2371.76,2376.42,4113702
2023-01-05,2376.42,2389.47,2376.14,2380.61,5213989
2023-01-06,2380.61,2384.97,2325.58,2343.40,6955840
2023-01-09,2343.40,2345.60,2281.16,2292.78,3175768
2023-01-10,2292.78,2299.96,2269.70,2298.24,6668671
2023-01-11,2298.24,2299.28,2283.99,2298.05,3990059
2023-01-12,2298.05,2312.26,2290.62,2303.25,3802426
2023-01-13,2303.25,2303.55,2274.01,2282.08,3617844
2023-01-16,2282.08,2283.09,2279.58,2280.16,6388600
2023-01-17,2280.16,2295.80,2266.05,2283.39,5164575
2023-01-18,2283.39,2293.67,2265.12,2287.80,5392736
2023-01-19,2287.80,2288.48,2250.81,2256.02,3600798
2023-01-20,2256.02,2276.24,2250.00,2275.63,5359966
2023-01-23,2275.63,2277.48,2254.14,2258.32,3603152
2023-01-24,2258.32,2263.55,2225.53,2227.28,3386816
2023-01-25,2227.28,2270.96,2220.20,2259.00,4201680
2023-01-26,2259.00,2263.18,2205.26,2206.12,6380297
2023-01-27,2206.12,2228.39,2202.87,2225.47,3581839
2023-01-30,2225.47,2271.15,2222.77,2267.27,3722209
2023-01-31,2267.27,2269.06,2255.03,2265.12,4505151
2023-02-01,2265.12,2275.69,2248.31,2254.20,6504875
2023-02-02,2254.20,2276.49,2244.71,2273.40,6005299
2023-02-03,2273.40,2302.28,2270.25,2290.45,3491568
2023-02-06,2290.45,2293.24,2227.61,2235.66,5094960
2023-02-07,2235.66,2304.64,2230.08,2297.00,5734737
2023-02-08,2297.00,2313.37,2295.11,2311.74,6636717
2023-02-09,2311.74,2336.94,2311.00,2327.31,6011910
2023-02-10,2327.31,2329.73,2291.14,2299.03,6261025
2023-02-13,2299.03,2306.32,2293.59,2305.50,5052014
2023-02-14,2305.50,2315.93,2248.11,2251.38,4452507
2023-02-15,2251.38,2291.27,2244.56,2275.38,5293330
2023-02-16,2275.38,2298.99,2261.39,2297.78,4777912
2023-02-17,2297.78,2339.30,2295.27,2338.69,6586162
2023-02-20,2338.69,2348.96,2307.47,2312.49,6512751
2023-02-21,2312.49,2318.28,2279.92,2291.63,4719987
2023-02-22,2291.63,2300.48,2288.42,2288.54,6224156
2023-02-23,2288.54,2293.67,2280.64,2280.71,4330725
2023-02-24,2280.71,2293.29,2266.31,2273.64,3851632
