timestamp,price,label,direction,symbol,timeframe,curr_direction,curr_retrace_pct,curr_leg_size_pct,curr_leg_duration,curr_leg_speed,curr_ema20_dist,curr_ema50_dist,curr_ema200_dist,p1_leg_size_pct,p1_leg_duration,p1_retrace_pct,p1_leg_speed,p1_trend_state,p1_rsi,p1_stoch_k,p1_stoch_d,p1_stoch_cross,p1_macd_line,p1_macd_signal,p1_macd_hist,p1_adx,p1_plus_di,p1_minus_di,p1_ema20_dist,p1_ema50_dist,p1_ema200_dist,p1_bb_position,p1_bb_bandwidth,p2_leg_size_pct,p2_leg_duration,p2_retrace_pct,p2_leg_speed,p2_trend_state,p2_rsi,p2_stoch_k,p2_stoch_d,p2_stoch_cross,p2_macd_line,p2_macd_signal,p2_macd_hist,p2_adx,p2_plus_di,p2_minus_di,p2_ema20_dist,p2_ema50_dist,p2_ema200_dist,p2_bb_position,p2_bb_bandwidth,p3_leg_size_pct,p3_leg_duration,p3_retrace_pct,p3_leg_speed,p3_trend_state,p3_rsi,p3_stoch_k,p3_stoch_d,p3_stoch_cross,p3_macd_line,p3_macd_signal,p3_macd_hist,p3_adx,p3_plus_di,p3_minus_di,p3_ema20_dist,p3_ema50_dist,p3_ema200_dist,p3_bb_position,p3_bb_bandwidth,p4_leg_size_pct,p4_leg_duration,p4_retrace_pct,p4_leg_speed,p4_trend_state,p4_rsi,p4_stoch_k,p4_stoch_d,p4_stoch_cross,p4_macd_line,p4_macd_signal,p4_macd_hist,p4_adx,p4_plus_di,p4_minus_di,p4_ema20_dist,p4_ema50_dist,p4_ema200_dist,p4_bb_position,p4_bb_bandwidth,p5_leg_size_pct,p5_leg_duration,p5_retrace_pct,p5_leg_speed,p5_trend_state,p5_rsi,p5_stoch_k,p5_stoch_d,p5_stoch_cross,p5_macd_line,p5_macd_signal,p5_macd_hist,p5_adx,p5_plus_di,p5_minus_di,p5_ema20_dist,p5_ema50_dist,p5_ema200_dist,p5_bb_position,p5_bb_bandwidth,p6_leg_size_pct,p6_leg_duration,p6_retrace_pct,p6_leg_speed,p6_trend_state,p6_rsi,p6_stoch_k,p6_stoch_d,p6_stoch_cross,p6_macd_line,p6_macd_signal,p6_macd_hist,p6_adx,p6_plus_di,p6_minus_di,p6_ema20_dist,p6_ema50_dist,p6_ema200_dist,p6_bb_position,p6_bb_bandwidth,p7_leg_size_pct,p7_leg_duration,p7_retrace_pct,p7_leg_speed,p7_trend_state,p7_rsi,p7_stoch_k,p7_stoch_d,p7_stoch_cross,p7_macd_line,p7_macd_signal,p7_macd_hist,p7_adx,p7_plus_di,p7_minus_di,p7_ema20_dist,p7_ema50_dist,p7_ema200_dist,p7_bb_position,p7_bb_bandwidth,p8_leg_size_pct,p8_leg_duration,p8_retrace_pct,p8_leg_speed,p8_trend_state,p8_rsi,p8_stoch_k,p8_stoch_d,p8_stoch_cross,p8_macd_line,p8_macd_signal,p8_macd_hist,p8_adx,p8_plus_di,p8_minus_di,p8_ema20_dist,p8_ema50_dist,p8_ema200_dist,p8_bb_position,p8_bb_bandwidth,p9_leg_size_pct,p9_leg_duration,p9_retrace_pct,p9_leg_speed,p9_trend_state,p10_leg_size_pct,p10_leg_duration,p10_retrace_pct,p10_leg_speed,p10_trend_state,p11_leg_size_pct,p11_leg_duration,p11_retrace_pct,p11_leg_speed,p11_trend_state,p12_leg_size_pct,p12_leg_duration,p12_retrace_pct,p12_leg_speed,p12_trend_state,p13_leg_size_pct,p13_leg_duration,p13_retrace_pct,p13_leg_speed,p13_trend_state,p14_leg_size_pct,p14_leg_duration,p14_retrace_pct,p14_leg_speed,p14_trend_state,p15_leg_size_pct,p15_leg_duration,p15_retrace_pct,p15_leg_speed,p15_trend_state,p16_leg_size_pct,p16_leg_duration,p16_retrace_pct,p16_leg_speed,p16_trend_state,p17_leg_size_pct,p17_leg_duration,p17_retrace_pct,p17_leg_speed,p17_trend_state,p18_leg_size_pct,p18_leg_duration,p18_retrace_pct,p18_leg_speed,p18_trend_state,p19_leg_size_pct,p19_leg_duration,p19_retrace_pct,p19_leg_speed,p19_trend_state,p20_leg_size_pct,p20_leg_duration,p20_retrace_pct,p20_leg_speed,p20_trend_state,mkt_trend_state,mkt_trend_streak,mkt_bars_since_reversal,mkt_last_break_type,htf_trend_state,htf_retrace_pct,htf_pivot_dist_pct,htf_rsi,htf_stoch_k,htf_stoch_d,htf_macd_line,htf_macd_signal,htf_macd_hist,htf_adx,htf_plus_di,htf_minus_di,htf_ema20_dist,htf_ema50_dist,htf_bb_position,htf_bb_bandwidth,ltf_trend_state,ltf_zigzag_count,ltf_trend_reversal_flag,ltf_rsi,ltf_stoch_k,ltf_stoch_d,ltf_macd_line,ltf_macd_signal,ltf_macd_hist,ltf_adx,ltf_plus_di,ltf_minus_di,ltf_ema20_dist,ltf_ema50_dist,ltf_bb_position,ltf_bb_bandwidth,leg_size_vs_avg,leg_duration_vs_avg,bars_since_large_leg,max_retrace_last10,min_retrace_last10,leg_size_stddev,legs_contracting
2026-02-11T03:45:00Z,1.000000,no_impulse,0,POWERGRID,15m,1.000000,,0.000000,0.000000,0.000000,0.306167,0.741765,3.727011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,1.000000,,-1.000000,,,,60.590644,53.811659,74.566008,0.739839,0.826517,-0.086678,38.389738,37.716486,11.401518,0.496131,2.722549,0.715640,0.023122,,0.000000,,69.014726,52.747253,25.096584,0.158011,0.172653,-0.014642,34.937879,52.866168,16.102039,0.496076,0.812147,1.068287,0.008773,0.000000,0.000000,,,,0.000000,
2026-02-11T04:30:00Z,0.981690,no_impulse,0,POWERGRID,15m,-1.000000,,1.831010,3.000000,0.610337,-0.144682,0.247083,3.196434,0.000000,0.000000,,0.000000,0.000000,62.943891,31.858407,56.864890,0.000000,0.310582,0.292491,0.018091,22.596062,40.613985,14.392570,0.306167,0.741765,3.727011,0.701834,0.015216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,2.000000,,-1.000000,,,,65.491176,70.403587,68.488416,0.741425,0.805343,-0.063918,39.474399,35.301476,10.671471,1.014705,3.203198,0.914839,0.024711,,0.000000,,38.833159,5.504587,5.419092,-0.033549,0.044528,-0.078077,32.722234,31.440007,24.925992,-0.380719,-0.234779,0.112893,0.009798,1.000000,1.000000,,,,0.000000,
2026-02-11T06:15:00Z,0.992441,no_impulse,0,POWERGRID,15m,1.000000,58.715596,1.095140,7.000000,0.156449,0.419873,0.812660,3.672269,1.831010,3.000000,,0.610337,0.000000,48.995086,8.849558,17.994100,0.000000,0.213682,0.270938,-0.057256,26.079687,33.204412,18.020652,-0.144682,0.247083,3.196434,0.380170,0.012057,0.000000,0.000000,,0.000000,0.000000,62.943891,31.858407,56.864890,0.000000,0.310582,0.292491,0.018091,22.596062,40.613985,14.392570,0.306167,0.741765,3.727011,0.701834,0.015216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.000000,1.000000,,-1.000000,,,,60.975522,61.883408,67.563528,0.703184,0.776165,-0.072981,41.173295,34.299213,12.251172,0.540368,2.655375,0.705161,0.026482,,0.000000,,53.935053,64.285714,62.698413,0.055142,0.046663,0.008480,19.847849,23.755610,19.576390,0.056156,0.169374,0.581048,0.006933,1.196215,4.666667,,,,1.294719,
2026-02-11T07:45:00Z,0.983874,no_impulse,0,POWERGRID,15m,-1.000000,79.687500,0.863236,6.000000,0.143873,-0.142260,0.174909,2.952251,1.095140,7.000000,58.715596,0.156449,3.000000,63.113681,45.871560,38.532110,1.000000,0.207496,0.210136,-0.002640,31.848184,34.191494,11.740931,0.419873,0.812660,3.672269,0.927227,0.009869,1.831010,3.000000,,0.610337,0.000000,48.995086,8.849558,17.994100,0.000000,0.213682,0.270938,-0.057256,26.079687,33.204412,18.020652,-0.144682,0.247083,3.196434,0.380170,0.012057,0.000000,0.000000,,0.000000,0.000000,62.943891,31.858407,56.864890,0.000000,0.310582,0.292491,0.018091,22.596062,40.613985,14.392570,0.306167,0.741765,3.727011,0.701834,0.015216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000,1.000000,,-1.000000,,,,61.869632,64.573991,65.620329,0.673598,0.755018,-0.081420,41.615475,33.202875,11.859576,0.580822,2.646776,0.717017,0.026920,,0.000000,,42.191373,16.666667,23.677249,-0.064382,-0.031349,-0.033033,15.979576,19.205420,18.917672,-0.159161,-0.157959,0.294885,0.007747,0.885023,1.800000,,58.715596,58.715596,0.921361,
2026-02-12T03:45:00Z,0.994457,no_impulse,0,POWERGRID,15m,1.000000,123.529412,1.075636,9.000000,0.119515,0.312364,0.599734,3.232312,0.863236,6.000000,79.687500,0.143873,2.000000,47.932783,28.125000,32.812500,1.000000,0.098614,0.162375,-0.063760,32.419211,26.731172,14.686147,-0.142260,0.174909,2.952251,0.324452,0.008092,1.095140,7.000000,58.715596,0.156449,3.000000,63.113681,45.871560,38.532110,1.000000,0.207496,0.210136,-0.002640,31.848184,34.191494,11.740931,0.419873,0.812660,3.672269,0.927227,0.009869,1.831010,3.000000,,0.610337,0.000000,48.995086,8.849558,17.994100,0.000000,0.213682,0.270938,-0.057256,26.079687,33.204412,18.020652,-0.144682,0.247083,3.196434,0.380170,0.012057,0.000000,0.000000,,0.000000,0.000000,62.943891,31.858407,56.864890,0.000000,0.310582,0.292491,0.018091,22.596062,40.613985,14.392570,0.306167,0.741765,3.727011,0.701834,0.015216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,2.000000,,-1.000000,,,,62.574739,52.702703,64.503293,0.615901,0.696562,-0.080661,44.051656,37.723547,10.194851,0.531802,2.474535,0.690403,0.028080,,0.000000,,76.514490,91.304348,67.339545,0.111881,0.073247,0.038634,31.059477,41.224635,10.215331,0.526938,0.640271,1.214993,0.007409,1.135420,2.250000,,79.687500,58.715596,0.754375,
2026-02-12T09:15:00Z,0.980178,no_impulse,0,POWERGRID,15m,-1.000000,134.920635,1.435811,22.000000,0.065264,-0.167049,-0.200818,1.911682,1.075636,9.000000,123.529412,0.119515,1.000000,62.080856,61.904762,63.376979,0.000000,0.119033,0.103841,0.015192,36.245523,34.804191,8.708021,0.312364,0.599734,3.232312,0.960286,0.006808,0.863236,6.000000,79.687500,0.143873,2.000000,47.932783,28.125000,32.812500,1.000000,0.098614,0.162375,-0.063760,32.419211,26.731172,14.686147,-0.142260,0.174909,2.952251,0.324452,0.008092,1.095140,7.000000,58.715596,0.156449,3.000000,63.113681,45.871560,38.532110,1.000000,0.207496,0.210136,-0.002640,31.848184,34.191494,11.740931,0.419873,0.812660,3.672269,0.927227,0.009869,1.831010,3.000000,,0.610337,0.000000,48.995086,8.849558,17.994100,0.000000,0.213682,0.270938,-0.057256,26.079687,33.204412,18.020652,-0.144682,0.247083,3.196434,0.380170,0.012057,0.000000,0.000000,,0.000000,0.000000,62.943891,31.858407,56.864890,0.000000,0.310582,0.292491,0.018091,22.596062,40.613985,14.392570,0.306167,0.741765,3.727011,0.701834,0.015216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.000000,1.000000,,-1.000000,,,,57.480628,31.355932,24.056699,0.367055,0.494212,-0.127157,42.690908,32.902301,13.723934,0.256074,1.835784,0.718428,0.011754,,0.000000,,34.454637,9.523810,39.563492,-0.067441,-0.068998,0.001557,19.462946,13.942093,25.399598,-0.221224,-0.351623,-0.214258,0.003090,1.475647,4.400000,,123.529412,58.715596,0.655822,
2026-02-13T03:45:00Z,0.988745,no_impulse,0,POWERGRID,15m,1.000000,60.000000,0.874036,3.000000,0.291345,-0.108805,-0.114685,1.945386,1.435811,22.000000,134.920635,0.065264,8.000000,41.568907,27.659574,22.098646,1.000000,-0.118411,-0.093996,-0.024414,16.371445,13.919122,22.333361,-0.167049,-0.200818,1.911682,0.286178,0.007799,1.075636,9.000000,123.529412,0.119515,1.000000,62.080856,61.904762,63.376979,0.000000,0.119033,0.103841,0.015192,36.245523,34.804191,8.708021,0.312364,0.599734,3.232312,0.960286,0.006808,0.863236,6.000000,79.687500,0.143873,2.000000,47.932783,28.125000,32.812500,1.000000,0.098614,0.162375,-0.063760,32.419211,26.731172,14.686147,-0.142260,0.174909,2.952251,0.324452,0.008092,1.095140,7.000000,58.715596,0.156449,3.000000,63.113681,45.871560,38.532110,1.000000,0.207496,0.210136,-0.002640,31.848184,34.191494,11.740931,0.419873,0.812660,3.672269,0.927227,0.009869,1.831010,3.000000,,0.610337,0.000000,48.995086,8.849558,17.994100,0.000000,0.213682,0.270938,-0.057256,26.079687,33.204412,18.020652,-0.144682,0.247083,3.196434,0.380170,0.012057,0.000000,0.000000,,0.000000,0.000000,62.943891,31.858407,56.864890,0.000000,0.310582,0.292491,0.018091,22.596062,40.613985,14.392570,0.306167,0.741765,3.727011,0.701834,0.015216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.000000,2.000000,3.000000,-1.000000,,,,46.023161,0.000000,23.163842,0.282451,0.455256,-0.172805,40.649991,28.829337,21.696117,-0.543344,0.953807,0.050537,0.012023,,0.000000,,40.787905,28.813559,65.604520,0.062158,0.042154,0.020004,25.746116,18.517044,37.905455,-0.290482,-0.287965,0.215835,0.010193,0.832305,0.382979,,134.920635,58.715596,0.616263,1.153284
2026-02-13T09:45:00Z,0.963716,no_impulse,0,POWERGRID,15m,-1.000000,292.156863,2.531431,24.000000,0.105476,-0.500599,-1.072684,-0.035194,0.874036,3.000000,60.000000,0.291345,3.000000,46.383229,45.762712,70.533149,1.000000,-0.051069,-0.075145,0.024076,16.905621,20.205757,30.592574,-0.108805,-0.114685,1.945386,0.347999,0.007150,1.435811,22.000000,134.920635,0.065264,8.000000,41.568907,27.659574,22.098646,1.000000,-0.118411,-0.093996,-0.024414,16.371445,13.919122,22.333361,-0.167049,-0.200818,1.911682,0.286178,0.007799,1.075636,9.000000,123.529412,0.119515,1.000000,62.080856,61.904762,63.376979,0.000000,0.119033,0.103841,0.015192,36.245523,34.804191,8.708021,0.312364,0.599734,3.232312,0.960286,0.006808,0.863236,6.000000,79.687500,0.143873,2.000000,47.932783,28.125000,32.812500,1.000000,0.098614,0.162375,-0.063760,32.419211,26.731172,14.686147,-0.142260,0.174909,2.952251,0.324452,0.008092,1.095140,7.000000,58.715596,0.156449,3.000000,63.113681,45.871560,38.532110,1.000000,0.207496,0.210136,-0.002640,31.848184,34.191494,11.740931,0.419873,0.812660,3.672269,0.927227,0.009869,1.831010,3.000000,,0.610337,0.000000,48.995086,8.849558,17.994100,0.000000,0.213682,0.270938,-0.057256,26.079687,33.204412,18.020652,-0.144682,0.247083,3.196434,0.380170,0.012057,0.000000,0.000000,,0.000000,0.000000,62.943891,31.858407,56.864890,0.000000,0.310582,0.292491,0.018091,22.596062,40.613985,14.392570,0.306167,0.741765,3.727011,0.701834,0.015216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.000000,3.000000,27.000000,-1.000000,,,,34.259116,5.464481,5.399051,-0.280889,0.031930,-0.312819,30.336200,19.793664,28.470165,-1.155865,-0.338949,0.169778,0.034603,,0.000000,,36.821609,17.647059,13.174020,-0.116967,-0.107625,-0.009342,24.037734,13.245289,25.470125,-0.204638,-0.495642,0.058506,0.004626,2.469733,3.360000,,134.920635,58.715596,0.566493,0.893412
2026-02-17T03:45:00Z,1.013271,no_impulse,0,POWERGRID,15m,1.000000,197.986577,5.142060,26.000000,0.197772,0.405011,1.339390,3.301655,2.531431,24.000000,292.156863,0.105476,4.000000,31.717738,19.230769,22.410256,0.000000,-0.387435,-0.392243,0.004808,36.339306,11.175077,26.429677,-0.500599,-1.072684,-0.035194,0.170516,0.015118,0.874036,3.000000,60.000000,0.291345,3.000000,46.383229,45.762712,70.533149,1.000000,-0.051069,-0.075145,0.024076,16.905621,20.205757,30.592574,-0.108805,-0.114685,1.945386,0.347999,0.007150,1.435811,22.000000,134.920635,0.065264,8.000000,41.568907,27.659574,22.098646,1.000000,-0.118411,-0.093996,-0.024414,16.371445,13.919122,22.333361,-0.167049,-0.200818,1.911682,0.286178,0.007799,1.075636,9.000000,123.529412,0.119515,1.000000,62.080856,61.904762,63.376979,0.000000,0.119033,0.103841,0.015192,36.245523,34.804191,8.708021,0.312364,0.599734,3.232312,0.960286,0.006808,0.863236,6.000000,79.687500,0.143873,2.000000,47.932783,28.125000,32.812500,1.000000,0.098614,0.162375,-0.063760,32.419211,26.731172,14.686147,-0.142260,0.174909,2.952251,0.324452,0.008092,1.095140,7.000000,58.715596,0.156449,3.000000,63.113681,45.871560,38.532110,1.000000,0.207496,0.210136,-0.002640,31.848184,34.191494,11.740931,0.419873,0.812660,3.672269,0.927227,0.009869,1.831010,3.000000,,0.610337,0.000000,48.995086,8.849558,17.994100,0.000000,0.213682,0.270938,-0.057256,26.079687,33.204412,18.020652,-0.144682,0.247083,3.196434,0.380170,0.012057,0.000000,0.000000,,0.000000,0.000000,62.943891,31.858407,56.864890,0.000000,0.310582,0.292491,0.018091,22.596062,40.613985,14.392570,0.306167,0.741765,3.727011,0.701834,0.015216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.000000,4.000000,53.000000,-1.000000,,,,65.635266,85.423729,93.360595,0.770392,0.470986,0.299406,36.618534,36.980781,16.336997,1.355585,2.733207,0.718081,0.063014,,0.000000,,53.231644,38.297872,67.573650,0.103834,0.118635,-0.014801,39.989957,17.707239,18.113567,0.007575,0.395578,0.523762,0.003188,4.238122,2.810811,26.000000,292.156863,58.715596,0.747491,1.595668
2026-02-17T06:00:00Z,0.997816,no_impulse,0,POWERGRID,15m,-1.000000,31.186441,1.525199,9.000000,0.169467,-0.358005,0.257793,2.256318,5.142060,26.000000,197.986577,0.197772,7.000000,66.226557,53.947368,76.556487,0.000000,0.603741,0.678707,-0.074966,54.006254,27.648354,12.268040,0.405011,1.339390,3.301655,0.816424,0.012852,2.531431,24.000000,292.156863,0.105476,4.000000,31.717738,19.230769,22.410256,0.000000,-0.387435,-0.392243,0.004808,36.339306,11.175077,26.429677,-0.500599,-1.072684,-0.035194,0.170516,0.015118,0.874036,3.000000,60.000000,0.291345,3.000000,46.383229,45.762712,70.533149,1.000000,-0.051069,-0.075145,0.024076,16.905621,20.205757,30.592574,-0.108805,-0.114685,1.945386,0.347999,0.007150,1.435811,22.000000,134.920635,0.065264,8.000000,41.568907,27.659574,22.098646,1.000000,-0.118411,-0.093996,-0.024414,16.371445,13.919122,22.333361,-0.167049,-0.200818,1.911682,0.286178,0.007799,1.075636,9.000000,123.529412,0.119515,1.000000,62.080856,61.904762,63.376979,0.000000,0.119033,0.103841,0.015192,36.245523,34.804191,8.708021,0.312364,0.599734,3.232312,0.960286,0.006808,0.863236,6.000000,79.687500,0.143873,2.000000,47.932783,28.125000,32.812500,1.000000,0.098614,0.162375,-0.063760,32.419211,26.731172,14.686147,-0.142260,0.174909,2.952251,0.324452,0.008092,1.095140,7.000000,58.715596,0.156449,3.000000,63.113681,45.871560,38.532110,1.000000,0.207496,0.210136,-0.002640,31.848184,34.191494,11.740931,0.419873,0.812660,3.672269,0.927227,0.009869,1.831010,3.000000,,0.610337,0.000000,48.995086,8.849558,17.994100,0.000000,0.213682,0.270938,-0.057256,26.079687,33.204412,18.020652,-0.144682,0.247083,3.196434,0.380170,0.012057,0.000000,0.000000,,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000,1.000000,9.000000,-1.000000,,,,58.369883,72.203390,77.514124,0.701309,0.562812,0.138497,34.638847,31.699428,20.161648,0.568805,1.929452,0.588755,0.064453,,0.000000,,29.839327,13.235294,18.137255,-0.178056,-0.156375,-0.021681,27.106995,13.365719,29.027722,-0.302023,-0.413504,0.221454,0.010810,0.924465,0.810000,9.000000,292.156863,58.715596,1.484563,2.532838
